#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         lina-combo-v1        -          cm        1       56     2831     2779      -    no    1 0.75   0.1   55.3   0.00021 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_BCTY01000029.1    -         lina-combo-v1        -          cm        1       56    34726    34784      +    no    1 0.68   0.0   50.5    0.0027 !   Sphingomonas sanguinis NBRC 13937, whole genome shotgun sequence
NZ_LARW01000054.1    -         lina-combo-v1        -          cm        1       56    40368    40424      +    no    1 0.67   0.0   50.4    0.0027 !   Sphingomonas sp. SRS2 contig54, whole genome shotgun sequence
MGTS01000012.1       -         lina-combo-v1        -          cm        1       56   107344   107296      -    no    1 0.69   0.0   50.4    0.0028 !   Elusimicrobia bacterium GWA2_51_34 gwa2_scaffold_159, whole genome shotgun sequence
MHGQ01000056.1       -         lina-combo-v1        -          cm        1       56     5628     5578      -    no    1 0.65   0.0   50.4    0.0028 !   Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_50_17 rifcsphigho2_02_scaffold_4980, whole genome shotgun sequence
NZ_FNIT01000001.1    -         lina-combo-v1        -          cm        1       56   135542   135486      -    no    1 0.70   0.1   50.3    0.0029 !   Aureimonas jatrophae strain L7-484,KACC 16230,DSM 25025, whole genome shotgun sequence
NZ_NEVT01000006.1    -         lina-combo-v1        -          cm        1       56   296141   296086      -    no    1 0.71   0.0   50.3    0.0029 !   Bordetella genomosp. 2 strain AU8256 NODE_29_length_1664_cov_29.9571_ID_57, whole genome shotgun sequence
NZ_CP022372.1        -         lina-combo-v1        -          cm        1       56  3903058  3903002      -    no    1 0.74   0.1   50.2     0.003 !   Bosea sp. AS-1 chromosome, complete genome
NZ_SGWR01000001.1    -         lina-combo-v1        -          cm        1       56   592446   592502      +    no    1 0.65   0.0   50.1    0.0031 !   Corticibacter populi strain DSM 105136 Ga0310547_11, whole genome shotgun sequence
NZ_CP017174.1        -         lina-combo-v1        -          cm        1       56  7564805  7564853      +    no    1 0.71   0.0   50.1    0.0031 !   Myxococcus xanthus strain MC3.5.9c15 chromosome, complete genome
NZ_JAAEAH010000078.1 -         lina-combo-v1        -          cm        1       56      346      394      +    no    1 0.71   0.0   50.1    0.0031 !   Myxococcus sp. CA023 NODE_78_length_43198_cov_65.0953, whole genome shotgun sequence
NZ_JABFNS010000090.1 -         lina-combo-v1        -          cm        1       56     2125     2173      +    no    1 0.71   0.0   50.1    0.0031 !   Myxococcus xanthus strain AM003 NODE_90_length_38248_cov_41.0572, whole genome shotgun sequence
NZ_FNAJ01000010.1    -         lina-combo-v1        -          cm        1       56    80487    80439      -    no    1 0.71   0.0   50.1    0.0031 !   Myxococcus virescens strain DSM 2260, whole genome shotgun sequence
NZ_FNOH01000014.1    -         lina-combo-v1        -          cm        1       56   180487   180535      +    no    1 0.71   0.0   50.1    0.0031 !   Myxococcus xanthus strain DSM 16526, whole genome shotgun sequence
NZ_JACAQA010000003.1 -         lina-combo-v1        -          cm        1       56   515008   515070      +    no    1 0.62   0.0   50.1    0.0032 !   Pseudomonas gingeri strain G9001 run0228_G9001_S4_L004_contig_3, whole genome shotgun sequence
SCVU01000696.1       -         lina-combo-v1        -          cm        1       56     4605     4556      -    no    1 0.68   0.0   50.1    0.0032 !   Planctomycetes bacterium isolate GW928_bin.9 GW928_bin.9-38415-1, whole genome shotgun sequence
JAAYAK010000247.1    -         lina-combo-v1        -          cm        1       56    42823    42766      -    no    1 0.57   0.0   50.1    0.0033 !   MAG: Syntrophorhabdus sp. isolate AS06rmzACSIP_121 485740_AS06, whole genome shotgun sequence
JADJJE010000019.1    -         lina-combo-v1        -          cm        1       56    67339    67391      +    no    1 0.75   0.3   50.0    0.0034 !   Sandaracinaceae bacterium isolate Ejby_18-Q3-R6-50_BATAC.260 tig00005964-10-1856300, whole genome shotgun sequence
JABTUA010000003.1    -         lina-combo-v1        -          cm        1       56  1213330  1213281      -    no    1 0.78   0.2   50.0    0.0034 !   Polyangiaceae bacterium isolate H2_MYX1 seq003, whole genome shotgun sequence
WRPG01000014.1       -         lina-combo-v1        -          cm        1       56    65743    65795      +    no    1 0.70   0.0   50.0    0.0034 !   Verrucomicrobia subdivision 3 bacterium isolate X3_MaxBin.016 scaffold_201, whole genome shotgun sequence
NZ_JXTJ01000006.1    -         lina-combo-v1        -          cm        1       56   238626   238684      +    no    1 0.73   0.8   49.9    0.0035 !   Bosea sp. WAO WAO_contig_6, whole genome shotgun sequence
NZ_JABXEO010000058.1 -         lina-combo-v1        -          cm        1       56    18178    18226      +    no    1 0.71   0.0   49.7    0.0039 !   Myxococcus sp. AM010 NODE_58_length_56286_cov_56.366_ID_5900, whole genome shotgun sequence
NZ_RXFQ01000010.1    -         lina-combo-v1        -          cm        1       56   149196   149260      +    no    1 0.71   0.4   49.7    0.0039 !   Variovorax beijingensis strain 502 10, whole genome shotgun sequence
NZ_SLXD01000031.1    -         lina-combo-v1        -          cm        1       56     1423     1372      -    no    1 0.81   0.8   49.7    0.0039 !   Rubrivivax gelatinosus strain DSM 1709 Ga0310528_131, whole genome shotgun sequence
NZ_SLXN01000007.1    -         lina-combo-v1        -          cm        1       56   170392   170444      +    no    1 0.68   0.0   49.7     0.004 !   Sphingomonas sp. BK235 Ga0307674_107, whole genome shotgun sequence
NZ_VRUU01000024.1    -         lina-combo-v1        -          cm        1       56    19230    19174      -    no    1 0.70   0.0   49.6    0.0041 !   Methylobacterium sp. WL119 NODE_24_length_53454_cov_14.7052_WL119_spades, whole genome shotgun sequence
JAGNHB010000037.1    -         lina-combo-v1        -          cm        1       56    44012    43959      -    no    1 0.78   0.2   49.6    0.0042 !   Acidobacteria bacterium isolate Go_SlDig_bin_149 Go_SlDig_1374_length_56602_cov_22.848057, whole genome shotgun sequence
NZ_WVTD01000008.1    -         lina-combo-v1        -          cm        1       56   157649   157596      -    no    1 0.69   0.0   49.5    0.0043 !   Novosphingobium sp. FGD1 NODE_8_length_190061_cov_34.815699, whole genome shotgun sequence
NZ_JACYFT010000002.1 -         lina-combo-v1        -          cm        1       56   872042   872094      +    no    1 0.68   0.0   49.5    0.0043 !   Limnohabitans sp. JUR4 contig2, whole genome shotgun sequence
JACPFR010000037.1    -         lina-combo-v1        -          cm        1       56    22798    22847      +    no    1 0.70   0.0   49.5    0.0043 !   Elusimicrobia bacterium isolate NC_groundwater_366_Ag_B-0.1um_69_19 GD18-4_B1_scaffold_835865, whole genome shotgun sequence
CADEGN010000009.1    -         lina-combo-v1        -          cm        1       56    53875    53825      -    no    1 0.76   0.1   49.5    0.0044 !   uncultured Myxococcales bacterium isolate Myxococcales sp. RBC066 genome assembly, contig: MAG066_9, whole genome shotgun sequence
DMAT01000132.1       -         lina-combo-v1        -          cm        1       56     1700     1753      +    no    1 0.50   0.0   49.5    0.0044 !   TPA_asm: Syntrophus sp. (in: Bacteria) isolate UBA8958 contig_54149, whole genome shotgun sequence
NZ_BCWP01000018.1    -         lina-combo-v1        -          cm        1       56    44711    44662      -    no    1 0.66   0.0   49.5    0.0045 !   Curvibacter delicatus NBRC 14919, whole genome shotgun sequence
NZ_CP011125.1        -         lina-combo-v1        -          cm        1       56  6712094  6712045      -    no    1 0.80   0.4   49.4    0.0045 !   Sandaracinus amylolyticus strain DSM 53668 chromosome, complete genome
NZ_BCUT01000001.1    -         lina-combo-v1        -          cm        1       56  1630203  1630139      -    no    1 0.72   0.6   49.4    0.0046 !   Variovorax paradoxus NBRC 15149, whole genome shotgun sequence
CP054178.1           -         lina-combo-v1        -          cm        1       56   533613   533561      -    no    1 0.77   0.1   49.4    0.0046 !   Phycisphaeraceae bacterium isolate H1_PLA4 chromosome, complete genome
NZ_JABWMJ010000001.1 -         lina-combo-v1        -          cm        1       56   575776   575722      -    no    1 0.71   0.0   49.4    0.0046 !   Schlegelella koreensis strain ID0723 contig1, whole genome shotgun sequence
DJWJ01000035.1       -         lina-combo-v1        -          cm        1       56     5877     5831      -    no    1 0.51   0.0   49.4    0.0047 !   TPA_asm: Candidatus Omnitrophica bacterium UBA6233 UBA6233_contig_49408, whole genome shotgun sequence
MVQP01000175.1       -         lina-combo-v1        -          cm        1       56     3149     3206      +    no    1 0.59   0.0   49.3    0.0047 !   MAG: Syntrophorhabdus sp. PtaB.Bin047 A4E60_contig000175, whole genome shotgun sequence
QZKH01000003.1       -         lina-combo-v1        -          cm        1       56   515817   515768      -    no    1 0.50   0.0   49.3    0.0049 !   Candidatus Omnitrophica bacterium isolate SURF_18 Ga0104751_1000002, whole genome shotgun sequence
JADHYK010000028.1    -         lina-combo-v1        -          cm        1       56    12515    12572      +    no    1 0.52   0.0   49.3    0.0049 !   Candidatus Omnitrophica bacterium isolate BS750m-G77 BS307-750m-sub-C278, whole genome shotgun sequence
DSXD01000001.1       -         lina-combo-v1        -          cm        1       56    48004    48059      +    no    1 0.71   0.0   49.3     0.005 !   TPA_asm: Acidobacteria bacterium isolate SpSt-543 Ga0101944_10000333, whole genome shotgun sequence
NZ_NRRU01000129.1    -         lina-combo-v1        -          cm        1       56     3068     3125      +    no    1 0.74   0.1   49.2     0.005 !   Rubrivivax gelatinosus strain IM 151 scaffold0129, whole genome shotgun sequence
JACQWX010000044.1    -         lina-combo-v1        -          cm        1       56     5305     5251      -    no    1 0.71   0.0   49.2    0.0051 !   Elusimicrobia bacterium isolate NC_groundwater_1500_Pr4_B-0.1um_67_5 SR1-18-B1_scaffold_77820, whole genome shotgun sequence
JACQWT010000136.1    -         lina-combo-v1        -          cm        1       56     7149     7099      -    no    1 0.80   0.9   49.2    0.0051 !   Deltaproteobacteria bacterium isolate NC_groundwater_1496_Pr4_B-0.1um_72_3 SR1-18-B1_scaffold_115733, whole genome shotgun sequence
JACRJX010000015.1    -         lina-combo-v1        -          cm        1       56   417310   417259      -    no    1 0.67   0.0   49.2    0.0051 !   Verrucomicrobia bacterium isolate NC_groundwater_1840_Pr3_B-0.1um_61_25 SR-2_scaffold_141_829293, whole genome shotgun sequence
CADEDM010000139.1    -         lina-combo-v1        -          cm        1       56    11254    11303      +    no    1 0.72   0.0   49.2    0.0052 !   uncultured Acidobacteria bacterium isolate Acidobacteria sp. RBC084 genome assembly, contig: MAG084_139, whole genome shotgun sequence
MGVE01000007.1       -         lina-combo-v1        -          cm        1       56   104478   104429      -    no    1 0.70   0.0   49.2    0.0052 !   Elusimicrobia bacterium RIFOXYA2_FULL_47_53 rifoxya2_full_scaffold_21, whole genome shotgun sequence
NZ_PRDL01000001.1    -         lina-combo-v1        -          cm        1       56  2635315  2635260      -    no    1 0.66   0.0   49.1    0.0053 !   Cellvibrio sp. Ka43 ctg1, whole genome shotgun sequence
QEKZ01000023.1       -         lina-combo-v1        -          cm        1       56    40211    40266      +    no    1 0.73   0.1   49.1    0.0055 !   Methylobacterium organophilum strain DSM 760 Ga0215672_123, whole genome shotgun sequence
NZ_QJTP01000022.1    -         lina-combo-v1        -          cm        1       56    33182    33126      -    no    1 0.72   0.0   49.1    0.0055 !   Methylobacterium sp. GV094 Ga0189709_122, whole genome shotgun sequence
JAFGIS010000664.1    -         lina-combo-v1        -          cm        1       56     4468     4418      -    no    1 0.75   0.0   49.1    0.0055 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
NC_017075.1          -         lina-combo-v1        -          cm        1       56  1809734  1809683      -    no    1 0.81   1.1   49.0    0.0056 !   Rubrivivax gelatinosus IL144, complete sequence
NZ_AEWG01000012.1    -         lina-combo-v1        -          cm        1       56     7836     7785      -    no    1 0.79   0.5   49.0    0.0057 !   Rubrivivax benzoatilyticus JA2 = ATCC BAA-35 strain JA2 contig_12, whole genome shotgun sequence
JADKIY010000001.1    -         lina-combo-v1        -          cm        1       56   845559   845507      -    no    1 0.55   0.0   49.0    0.0057 !   Elusimicrobia bacterium isolate Skiv_18-Q3-R9-52_MAXAC.212 tig00000460-10-8469010, whole genome shotgun sequence
JADJYS010000027.1    -         lina-combo-v1        -          cm        1       56    14629    14685      +    no    1 0.72   0.0   48.9     0.006 !   Bacterium isolate Lyne_18-Q3-R50-59_BATAC.526 tig00117188-10-185150, whole genome shotgun sequence
JACPXC010000010.1    -         lina-combo-v1        -          cm        1       56    28215    28168      -    no    1 0.67   0.0   48.9    0.0061 !   Elusimicrobia bacterium isolate NC_groundwater_827_Pr1_B-0.1um_69_30 Montesol18_Bp1_scaffold_73116, whole genome shotgun sequence
NZ_CP033231.1        -         lina-combo-v1        -          cm        1       56  4169163  4169107      -    no    1 0.67   0.0   48.9    0.0061 !   Methylobacterium brachiatum strain TX0642 chromosome
NZ_LMQV01000020.1    -         lina-combo-v1        -          cm        1       56     6894     6948      +    no    1 0.76   0.2   48.8    0.0062 !   Methylobacterium sp. Leaf456 contig_27, whole genome shotgun sequence
NZ_RFLX01000003.1    -         lina-combo-v1        -          cm        1       56   115515   115460      -    no    1 0.75   0.3   48.8    0.0062 !   Roseomonas sp. Z23 Scaffold3, whole genome shotgun sequence
JACPDS010000078.1    -         lina-combo-v1        -          cm        1       56      626      567      -    no    1 0.50   0.0   48.8    0.0063 !   Armatimonadetes bacterium isolate NC_groundwater_315_Ag_B-0.1um_31_7 GD18-4_B1_scaffold_516087, whole genome shotgun sequence
NZ_SMZP01000008.1    -         lina-combo-v1        -          cm        1       56   100573   100626      +    no    1 0.65   0.0   48.8    0.0064 !   Caulobacter sp. RHG1 Contig8, whole genome shotgun sequence
PHBN01000183.1       -         lina-combo-v1        -          cm        1       56     2698     2645      -    no    1 0.50   0.0   48.8    0.0064 !   Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1 yuki_s1_sub10_scaffold_1071, whole genome shotgun sequence
JAEUJW010000029.1    -         lina-combo-v1        -          cm        1       56    14353    14404      +    no    1 0.58   0.0   48.8    0.0064 !   Myxococcales bacterium isolate new MAG-79 k141_3537669, whole genome shotgun sequence
MGTY01000132.1       -         lina-combo-v1        -          cm        1       56    39598    39546      -    no    1 0.68   0.0   48.7    0.0065 !   Elusimicrobia bacterium GWA2_69_24 gwa2_scaffold_937, whole genome shotgun sequence
JAFIGS010000031.1    -         lina-combo-v1        -          cm        1       56    88212    88260      +    no    1 0.76   0.1   48.7    0.0066 !   Pseudolabrys sp. isolate HJP_bin35 k141_207803, whole genome shotgun sequence
JACRDO010000107.1    -         lina-combo-v1        -          cm        1       56     5112     5060      -    no    1 0.64   0.0   48.7    0.0066 !   Elusimicrobia bacterium isolate NC_groundwater_1674_Pr3_B-0.1um_65_18 SR-2_scaffold_141_1980976, whole genome shotgun sequence
VGXU01000006.1       -         lina-combo-v1        -          cm        1       56    64918    64866      -    no    1 0.60   0.0   48.7    0.0068 !   Planctomycetes bacterium isolate K_DeepCast_100m_m1_307 K_DeepCast_100m_m1_307_Ga0194127_10000368, whole genome shotgun sequence
JACRDR010000508.1    -         lina-combo-v1        -          cm        1       56     8517     8467      -    no    1 0.71   0.0   48.6    0.0068 !   Elusimicrobia bacterium isolate NC_groundwater_1677_Pr3_B-0.1um_68_8 SR-2_scaffold_141_4175364, whole genome shotgun sequence
NC_008825.1          -         lina-combo-v1        -          cm        1       56   404714   404769      +    no    1 0.75   0.1   48.6    0.0069 !   Methylibium petroleiphilum PM1, complete sequence
NZ_JAHOOZ010000002.1 -         lina-combo-v1        -          cm        1       56   111291   111347      +    no    1 0.65   0.0   48.6    0.0071 !   Novosphingobium sp. G106 Seq2_len=382536_segment0, whole genome shotgun sequence
NZ_JACHWM010000035.1 -         lina-combo-v1        -          cm        1       56     5821     5765      -    no    1 0.70   0.1   48.6    0.0072 !   Methylobacterium sp. R2-1 Ga0299752_35, whole genome shotgun sequence
JAFGIS010000664.1    -         lina-combo-v1        -          cm        1       56    16993    16943      -    no    1 0.71   0.0   48.5    0.0072 !   Polyangiaceae bacterium isolate Zod_Metabat.23 k87_14801343, whole genome shotgun sequence
LSKJ01000035.1       -         lina-combo-v1        -          cm        1       56      716      768      +    no    1 0.74   0.1   48.5    0.0072 !   Rhodospirillaceae bacterium CCH5-H10 CCH5-H10_contig35, whole genome shotgun sequence
JADJYS010000014.1    -         lina-combo-v1        -          cm        1       56   118166   118110      -    no    1 0.70   0.0   48.5    0.0073 !   Bacterium isolate Lyne_18-Q3-R50-59_BATAC.526 tig00020059-10-1434330, whole genome shotgun sequence
DMMY01000015.1       -         lina-combo-v1        -          cm        1       56    49082    49131      +    no    1 0.72   0.0   48.5    0.0073 !   TPA_asm: Elusimicrobia bacterium isolate UBA9628 contig_324, whole genome shotgun sequence
JAHJCJ010000062.1    -         lina-combo-v1        -          cm        1       56     5218     5164      -    no    1 0.42   0.0   48.5    0.0076 !   MAG: Candidatus Omnitrophica bacterium isolate Modern_marine.mb.300 Modern_marine.mb.300_k141_1106130, whole genome shotgun sequence
DTKC01000469.1       -         lina-combo-v1        -          cm        1       56    23094    23146      +    no    1 0.72   0.0   48.4    0.0076 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium isolate SpSt-847 Ga0123519_10001845, whole genome shotgun sequence
NZ_LMKV01000001.1    -         lina-combo-v1        -          cm        1       56    47195    47140      -    no    1 0.70   0.0   48.4    0.0076 !   Sphingobium sp. Leaf26 contig_1, whole genome shotgun sequence
NZ_QAOG01000007.1    -         lina-combo-v1        -          cm        1       56   225477   225528      +    no    1 0.63   0.0   48.4    0.0077 !   Sphingomonas aurantiaca strain MA101b Ga0191660_107, whole genome shotgun sequence
NZ_JAFMZZ010000001.1 -         lina-combo-v1        -          cm        1       56  3723067  3723011      -    no    1 0.75   0.2   48.4    0.0077 !   Bordetella petrii strain BMC_SI_3 Bordetella_petrii_BMC_SI_3_scaffold_1, whole genome shotgun sequence
NZ_CP009533.1        -         lina-combo-v1        -          cm        1       56  1400502  1400563      +    no    1 0.66   0.0   48.4    0.0078 !   Pseudomonas rhizosphaerae strain DSM 16299 chromosome, complete genome
MGUA01000023.1       -         lina-combo-v1        -          cm        1       56    29346    29299      -    no    1 0.75   0.0   48.4    0.0078 !   Elusimicrobia bacterium GWB2_63_22 gwb2_scaffold_373, whole genome shotgun sequence
JADJZR010000028.1    -         lina-combo-v1        -          cm        1       56    70888    70838      -    no    1 0.65   0.0   48.4    0.0079 !   Elusimicrobia bacterium isolate Lyne_18-Q3-R50-59_MAXAC.215 tig00322439-10-3427020, whole genome shotgun sequence
DJVP01000005.1       -         lina-combo-v1        -          cm        1       56    28538    28593      +    no    1 0.48   0.0   48.2    0.0085 !   TPA_asm: Candidatus Omnitrophica bacterium UBA6253 UBA6253_contig_29690, whole genome shotgun sequence
NZ_LT907988.1        -         lina-combo-v1        -          cm        1       56  3427892  3427947      +    no    1 0.62   0.0   48.1     0.009 !   Orrella dioscoreae isolate Orrdi1 chromosome I, complete sequence
JACDCA010000717.1    -         lina-combo-v1        -          cm        1       56      803      754      -    no    1 0.72   0.0   48.1    0.0091 !   Acidobacteria bacterium isolate MGR_bin296 SD2897-2912_k127_1335414, whole genome shotgun sequence
FP565575.1           -         lina-combo-v1        -          cm        1       56  1310293  1310235      -    no    1 0.68   0.0   48.0    0.0094 !   Candidatus Methylomirabilis oxyfera complete genome
JABLXY010000002.1    -         lina-combo-v1        -          cm        1       56   261187   261133      -    no    1 0.69   0.0   48.0    0.0095 !   Syntrophaceae bacterium isolate Ch3 Scaffold3, whole genome shotgun sequence
DNHS01000030.1       -         lina-combo-v1        -          cm        1       56    23268    23212      -    no    1 0.53   0.0   48.0    0.0097 !   TPA_asm: Candidatus Omnitrophica bacterium isolate UBA10183 contig_25524, whole genome shotgun sequence
