#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_VKUD01001067.1    -         nhaA-I               RF03057    cm        1       55      160      209      +    no    1 0.70   0.0   19.0        47 ?   Klebsiella aerogenes strain AS012424 AS012424_1068, whole genome shotgun sequence
NZ_JYOF01000014.1    -         nhaA-I               RF03057    cm        1       55   113056   112991      -    no    1 0.68   0.0   18.8        53 ?   Pseudomonas sp. 2(2015) contig14, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   378755   378706      -    no    1 0.72   0.0   18.8        55 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JTCJ01000057.1    -         nhaA-I               RF03057    cm        1       55     8923     8973      +    no    1 0.57   0.0   18.7        58 ?   Pseudomonas putida strain SQ1 Contig_34_PpSQ1, whole genome shotgun sequence
NZ_CAKZ01000080.1    -         nhaA-I               RF03057    cm        1       55    57509    57563      +    no    1 0.60   0.0   18.6        59 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_VUOQ01000086.1    -         nhaA-I               RF03057    cm        1       55      182      230      +    no    1 0.61   0.0   18.6        61 ?   Streptococcus pneumoniae strain VB001 NODE_86_length_313_cov_3.24766_ID_171, whole genome shotgun sequence
NZ_LUSZ01000001.1    -         nhaA-I               RF03057    cm        1       55   177893   177936      +    no    1 0.64   0.0   18.6        62 ?   Lonsdalea populi strain CFCC 11263 contig00001, whole genome shotgun sequence
NZ_LUSX01000002.1    -         nhaA-I               RF03057    cm        1       55   133445   133488      +    no    1 0.64   0.0   18.6        62 ?   Lonsdalea populi strain CFCC 11265 contig00002, whole genome shotgun sequence
NZ_JAOA01000015.1    -         nhaA-I               RF03057    cm       36       55    25733    25754      +    no    1 0.77   0.0   18.4        65 ?   Mycobacterium kansasii 662 gmk662.contig.14, whole genome shotgun sequence
NZ_JAOA01000027.1    -         nhaA-I               RF03057    cm       36       55     6932     6911      -    no    1 0.77   0.0   18.4        65 ?   Mycobacterium kansasii 662 gmk662.contig.26, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  2039311  2039420      +    no    1 0.74   3.6   18.4        67 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JYOF01000072.1    -         nhaA-I               RF03057    cm        1       55       20       70      +    no    1 0.65   0.0   18.3        69 ?   Pseudomonas sp. 2(2015) contig99, whole genome shotgun sequence
NZ_VKDK01000003.1    -         nhaA-I               RF03057    cm        1       55   154855   154911      +    no    1 0.67   0.0   18.3        71 ?   Corynebacterium aurimucosum strain 2274 NODE_3_length_230257_cov_256.703, whole genome shotgun sequence
NZ_LAYQ01000009.1    -         nhaA-I               RF03057    cm        1       55    50005    50061      +    no    1 0.67   0.0   18.3        71 ?   Corynebacterium minutissimum strain 1941 Contig_9, whole genome shotgun sequence
NZ_MRVD01000059.1    -         nhaA-I               RF03057    cm       35       55    21677    21657      -    no    1 0.90   0.1   18.3        73 ?   Ensifer adhaerens strain X097 Scaffold87, whole genome shotgun sequence
NZ_JTCJ01000625.1    -         nhaA-I               RF03057    cm        1       55     2214     2168      -    no    1 0.68   0.0   18.2        75 ?   Pseudomonas putida strain SQ1 Contig_697_PpSQ1, whole genome shotgun sequence
NZ_JAAGLY010000217.1 -         nhaA-I               RF03057    cm        1       55      462      388      -    no    1 0.69   0.0   18.2        77 ?   Streptomyces sp. SID13726 NODE_217_length_558_cov_0.75174_ID_433/0, whole genome shotgun sequence
NZ_VLFQ01000615.1    -         nhaA-I               RF03057    cm       28       55       19       46      +    no    2 0.86   0.1   18.1        79 ?   Stenotrophomonas maltophilia strain AS012722 AS012722_622, whole genome shotgun sequence
NZ_MCWV02000001.1    -         nhaA-I               RF03057    cm        1       55  2094075  2094030      -    no    1 0.67   0.0   18.1        81 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_0, whole genome shotgun sequence
NZ_VJYJ02001484.1    -         nhaA-I               RF03057    cm        1       55      325      379      +    no    1 0.78   0.4   18.0        84 ?   Streptomyces alkaliphilus strain IF17 NODE_1484, whole genome shotgun sequence
NZ_ACEQ02000008.1    -         nhaA-I               RF03057    cm        1       55    42964    42906      -    no    1 0.68   0.0   18.0        86 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont7.1, whole genome shotgun sequence
NZ_CABEFZ010000086.1 -         nhaA-I               RF03057    cm       37       54    89985    89968      -    no    1 0.89   0.0   17.9        90 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_MUMG01000694.1    -         nhaA-I               RF03057    cm        1       55      485      436      -    no    1 0.72   0.0   17.8        92 ?   Crossiella equi strain NRRL B-24104 NRRL_B-24104)_contig_717, whole genome shotgun sequence
NZ_JYOF01000001.1    -         nhaA-I               RF03057    cm        1       55   159098   159143      +    no    1 0.57   0.0   17.8        92 ?   Pseudomonas sp. 2(2015) contig1, whole genome shotgun sequence
NZ_LHMF01000007.1    -         nhaA-I               RF03057    cm        1       55    76216    76164      -    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_7, whole genome shotgun sequence
NZ_LHNW01000011.1    -         nhaA-I               RF03057    cm        1       55   101584   101532      -    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_11, whole genome shotgun sequence
NZ_LHLF01000008.1    -         nhaA-I               RF03057    cm        1       55   176803   176855      +    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_8, whole genome shotgun sequence
NZ_LHMA01000018.1    -         nhaA-I               RF03057    cm        1       55   176803   176855      +    no    1 0.62   0.0   17.8        93 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_18, whole genome shotgun sequence
NZ_BIMO01000004.1    -         nhaA-I               RF03057    cm        1       55   153122   153176      +    no    1 0.73   0.0   17.8        94 ?   Stenotrophomonas pavanii strain Y contig4, whole genome shotgun sequence
NZ_PEDB01000061.1    -         nhaA-I               RF03057    cm        1       55    69927    69972      +    no    1 0.63   0.0   17.5   1.1e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000061, whole genome shotgun sequence
NZ_JACJNF010000001.1 -         nhaA-I               RF03057    cm       37       54   202188   202170      -    no    1 0.74   0.0   17.5   1.1e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_01, whole genome shotgun sequence
NZ_JACJNC010000021.1 -         nhaA-I               RF03057    cm       37       54    23478    23460      -    no    1 0.74   0.0   17.5   1.1e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_21, whole genome shotgun sequence
NZ_CDMV01000004.1    -         nhaA-I               RF03057    cm        1       55    32292    32255      -    no    1 0.71   0.0   17.4   1.2e+02 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_JYJF01000650.1    -         nhaA-I               RF03057    cm        1       55      152      198      +    no    1 0.77   0.2   17.4   1.2e+02 ?   Saccharothrix sp. ST-888 contig-650, whole genome shotgun sequence
NZ_JTCJ01000085.1    -         nhaA-I               RF03057    cm        1       55     3058     3005      -    no    1 0.72   0.0   17.4   1.2e+02 ?   Pseudomonas putida strain SQ1 Contig_217_PpSQ1, whole genome shotgun sequence
NZ_BIMO01000005.1    -         nhaA-I               RF03057    cm        1       55   265537   265475      -    no    1 0.73   0.0   17.3   1.2e+02 ?   Stenotrophomonas pavanii strain Y contig5, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55   963119   963166      +    no    1 0.81   1.5   17.3   1.2e+02 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JACJNC010000008.1 -         nhaA-I               RF03057    cm        1       55    15986    15921      -    no    1 0.67   0.0   17.3   1.3e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_08, whole genome shotgun sequence
NZ_JACJNF010000011.1 -         nhaA-I               RF03057    cm        1       55    67772    67812      +    no    1 0.63   0.0   17.2   1.3e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_11, whole genome shotgun sequence
NZ_JACJMT010000007.1 -         nhaA-I               RF03057    cm        1       55    10994    10954      -    no    1 0.63   0.0   17.2   1.3e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_07, whole genome shotgun sequence
NZ_JOAW01001337.1    -         nhaA-I               RF03057    cm       36       55       33       15      -    no    1 0.95   0.4   17.2   1.3e+02 ?   Streptomyces sp. NRRL S-146 contig1337.1, whole genome shotgun sequence
NZ_JTCJ01000045.1    -         nhaA-I               RF03057    cm        1       55     4220     4185      -    no    1 0.61   0.0   17.1   1.4e+02 ?   Pseudomonas putida strain SQ1 Contig_334_PpSQ1, whole genome shotgun sequence
NZ_FXBD01000001.1    -         nhaA-I               RF03057    cm        1       55   203216   203282      +    no    1 0.69   0.0   17.1   1.4e+02 ?   Kocuria marina isolate Kocuria Marina TRE150902, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  2874799  2874754      -    no    1 0.67   0.0   17.0   1.4e+02 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_ANMK01000059.1    -         nhaA-I               RF03057    cm        1       55     4931     4897      -    no    1 0.69   0.0   17.0   1.5e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp120 contig00065, whole genome shotgun sequence
NZ_ANMJ01000060.1    -         nhaA-I               RF03057    cm        1       55    88129    88095      -    no    1 0.69   0.0   17.0   1.5e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp46 contig00066, whole genome shotgun sequence
NZ_ANMM01000006.1    -         nhaA-I               RF03057    cm        1       55    98969    98935      -    no    1 0.69   0.0   17.0   1.5e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp225 contig00006, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm        1       55  1177956  1177999      +    no    1 0.68   0.0   16.9   1.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_CABGVC010000001.1 -         nhaA-I               RF03057    cm        1       55   157231   157194      -    no    1 0.66   0.0   16.9   1.5e+02 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000002.1    -         nhaA-I               RF03057    cm        1       55   126011   125974      -    no    1 0.66   0.0   16.9   1.5e+02 ?   Klebsiella pneumoniae strain CriePir26 NODE_2_length_323409_cov_54.5877, whole genome shotgun sequence
NZ_VKTB01000596.1    -         nhaA-I               RF03057    cm        1       55       35       93      +    no    1 0.69   0.0   16.9   1.6e+02 ?   Proteus mirabilis strain AS012459 AS012459_597, whole genome shotgun sequence
NZ_VKUI01000475.1    -         nhaA-I               RF03057    cm        1       55      170      112      -    no    1 0.69   0.0   16.9   1.6e+02 ?   Klebsiella pneumoniae strain AS012418 AS012418_478, whole genome shotgun sequence
NZ_VKDK01000002.1    -         nhaA-I               RF03057    cm        1       55   122621   122526      -    no    1 0.56   0.0   16.9   1.6e+02 ?   Corynebacterium aurimucosum strain 2274 NODE_2_length_265022_cov_234.905, whole genome shotgun sequence
NZ_ACJD01000004.1    -         nhaA-I               RF03057    cm       39       52   124351   124364      +    no    1 0.79   0.0   16.9   1.6e+02 ?   Brucella ceti str. Cudo chromosome I VBI00081_4, whole genome shotgun sequence
NZ_CABEFZ010000075.1 -         nhaA-I               RF03057    cm       39       52   118431   118444      +    no    1 0.79   0.0   16.9   1.6e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_NQYB01000032.1    -         nhaA-I               RF03057    cm       39       52    22049    22062      +    no    1 0.79   0.0   16.9   1.6e+02 ?   Pseudomonas congelans strain DM2.1.12.02A seq96_Contig33, whole genome shotgun sequence
NZ_MLFE01000019.1    -         nhaA-I               RF03057    cm       39       52    51262    51275      +    no    1 0.79   0.0   16.9   1.6e+02 ?   Pantoea allii strain LMG 24248 Contig0019_, whole genome shotgun sequence
NZ_CABGVC010000003.1 -         nhaA-I               RF03057    cm       39       52   188700   188713      +    no    1 0.79   0.0   16.9   1.6e+02 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000011.1    -         nhaA-I               RF03057    cm       39       52   203430   203417      -    no    1 0.79   0.0   16.9   1.6e+02 ?   Klebsiella pneumoniae strain CriePir26 NODE_11_length_206317_cov_53.2963, whole genome shotgun sequence
NZ_ACJD01000003.1    -         nhaA-I               RF03057    cm        1       55   134069   134003      -    no    1 0.57   0.0   16.8   1.6e+02 ?   Brucella ceti str. Cudo chromosome I VBI00081_3, whole genome shotgun sequence
NZ_QROA01000012.1    -         nhaA-I               RF03057    cm        1       55    51381    51335      -    no    1 0.57   0.0   16.7   1.7e+02 ?   Lachnospira eligens strain AF41-18 AF41-18.Scaf12, whole genome shotgun sequence
NZ_VKUW01001693.1    -         nhaA-I               RF03057    cm       35       55      203      183      -    no    2 0.71   0.0   16.7   1.7e+02 ?   Enterobacter kobei strain AS012401 AS012401_1693, whole genome shotgun sequence
NZ_LQPT01000001.1    -         nhaA-I               RF03057    cm        1       55      289      226      -    no    1 0.66   0.0   16.7   1.7e+02 ?   Mycobacterium sherrisii strain ATCC BAA-832 contig_1, whole genome shotgun sequence
NZ_CAKZ01000093.1    -         nhaA-I               RF03057    cm        1       55    60413    60452      +    no    1 0.65   0.0   16.7   1.7e+02 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_CABEFZ010000011.1 -         nhaA-I               RF03057    cm       30       55   123351   123376      +    no    1 0.62   0.0   16.7   1.7e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_RCOC01000089.1    -         nhaA-I               RF03057    cm        1       55      261      213      -    no    1 0.57   0.0   16.7   1.8e+02 ?   Pseudomonas sp. Sample_14 NODE_995_length_906_cov_36.068155, whole genome shotgun sequence
NZ_CAKZ01000068.1    -         nhaA-I               RF03057    cm        1       55    48473    48524      +    no    1 0.71   0.0   16.6   1.8e+02 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_JACJNF010000013.1 -         nhaA-I               RF03057    cm       35       55    85800    85820      +    no    1 0.86   0.0   16.5   1.9e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_13, whole genome shotgun sequence
NZ_JAOA01000002.1    -         nhaA-I               RF03057    cm        1       55    45724    45669      -    no    1 0.62   0.0   16.5     2e+02 ?   Mycobacterium kansasii 662 gmk662.contig.1, whole genome shotgun sequence
NZ_JACJNC010000020.1 -         nhaA-I               RF03057    cm        1       55    97995    97951      -    no    1 0.67   0.0   16.5     2e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_20, whole genome shotgun sequence
NZ_JACJMT010000032.1 -         nhaA-I               RF03057    cm        1       55     8352     8396      +    no    1 0.67   0.0   16.5     2e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_32, whole genome shotgun sequence
NZ_CAKZ01000008.1    -         nhaA-I               RF03057    cm        1       55    35912    35954      +    no    1 0.58   0.0   16.5     2e+02 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_PDXT01000404.1    -         nhaA-I               RF03057    cm        1       55       98      144      +    no    1 0.81   0.3   16.4     2e+02 ?   Shigella flexneri strain FC2414 NODE_404_length_404_cov_3.45574_ID_807, whole genome shotgun sequence
NZ_VLUI01000690.1    -         nhaA-I               RF03057    cm        1       55      199      164      -    no    1 0.69   0.0   16.4   2.1e+02 ?   Acinetobacter nosocomialis strain AS012642 AS012642_690, whole genome shotgun sequence
NZ_MCWV02000002.1    -         nhaA-I               RF03057    cm        1       55  1808467  1808525      +    no    1 0.54   0.0   16.2   2.2e+02 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_1, whole genome shotgun sequence
NZ_NQYB01000016.1    -         nhaA-I               RF03057    cm        1       55    47034    47001      -    no    1 0.71   0.0   16.2   2.3e+02 ?   Pseudomonas congelans strain DM2.1.12.02A seq96_Contig16, whole genome shotgun sequence
NZ_JYOF01000003.1    -         nhaA-I               RF03057    cm        1       55   425033   425081      +    no    1 0.69   0.0   16.2   2.3e+02 ?   Pseudomonas sp. 2(2015) contig3, whole genome shotgun sequence
NZ_ACJD01000007.1    -         nhaA-I               RF03057    cm        1       55   162437   162368      -    no    1 0.64   0.0   16.1   2.4e+02 ?   Brucella ceti str. Cudo chromosome II VBI00082_2, whole genome shotgun sequence
NZ_RXSD01000046.1    -         nhaA-I               RF03057    cm        1       55      135      193      +    no    1 0.75   0.1   16.1   2.5e+02 ?   Enterobacter hormaechei strain WCHEH090060 46, whole genome shotgun sequence
NZ_VLNF01000687.1    -         nhaA-I               RF03057    cm        1       55      108       50      -    no    1 0.75   0.1   16.1   2.5e+02 ?   Enterobacter hormaechei strain AS012288 AS012288_687, whole genome shotgun sequence
NZ_JUTR01000011.1    -         nhaA-I               RF03057    cm        1       55      117       59      -    no    1 0.75   0.1   16.1   2.5e+02 ?   Enterobacter kobei strain 77_ECLO 63_221_1303, whole genome shotgun sequence
NZ_JUQP01000008.1    -         nhaA-I               RF03057    cm        1       55      117       59      -    no    1 0.75   0.1   16.1   2.5e+02 ?   Enterobacter kobei strain 85_ECLO 66_221_1115, whole genome shotgun sequence
NZ_QFVG01000178.1    -         nhaA-I               RF03057    cm        1       55      128       70      -    no    1 0.75   0.1   16.1   2.5e+02 ?   Enterobacter roggenkampii strain P088E scaffold_000178, whole genome shotgun sequence
NZ_BIMO01000003.1    -         nhaA-I               RF03057    cm        1       55   189744   189707      -    no    1 0.82   0.1   16.0   2.5e+02 ?   Stenotrophomonas pavanii strain Y contig3, whole genome shotgun sequence
NZ_BIMO01000010.1    -         nhaA-I               RF03057    cm        1       55    47832    47908      +    no    1 0.69   0.1   16.0   2.5e+02 ?   Stenotrophomonas pavanii strain Y contig10, whole genome shotgun sequence
NZ_BADM01000945.1    -         nhaA-I               RF03057    cm        1       55     2072     2133      +    no    1 0.68   0.0   15.9   2.7e+02 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_ANML01000076.1    -         nhaA-I               RF03057    cm        1       55    90614    90648      +    no    1 0.71   0.0   15.9   2.7e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp223 contig00080, whole genome shotgun sequence
NZ_ANMI01000070.1    -         nhaA-I               RF03057    cm        1       55    24320    24286      -    no    1 0.71   0.0   15.9   2.7e+02 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp22 contig00077, whole genome shotgun sequence
NZ_VAMP01000113.1    -         nhaA-I               RF03057    cm        4       55      743      674      -    no    1 0.67   0.0   15.8   2.8e+02 ?   Acinetobacter baumannii strain Ab10 B10_L1.R1.clean__paired__contig_117, whole genome shotgun sequence
NZ_VAMG01000144.1    -         nhaA-I               RF03057    cm        4       55       69      138      +    no    1 0.67   0.0   15.8   2.8e+02 ?   Acinetobacter baumannii strain Ab190 A190_L1.R1.clean__paired__contig_150, whole genome shotgun sequence
NZ_VAMM01000093.1    -         nhaA-I               RF03057    cm        4       55      407      476      +    no    1 0.67   0.0   15.8   2.8e+02 ?   Acinetobacter baumannii strain Ab5 B5_L1.R1.clean__paired__contig_97, whole genome shotgun sequence
